2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Boston Preparatory Charter Public (District),04160000,ELA,          63,22,           4,1,          59,20,         146,51,          80,28,         289,100,     483,          43,         257
Boston Preparatory Charter Public (District),04160000,MATH,          38,13,           1,0,          37,13,         151,52,         100,35,         289,100,     479,          41,         257
Boston Preparatory Charter Public (District),04160000,SCI,          14,14,           0,0,          14,14,          60,61,          24,24,          98,100,     482,,
Boston Renaissance Charter Public (District),04810000,ELA,         117,28,          11,3,         106,26,         186,45,         108,26,         411,100,     486,          48,         278
Boston Renaissance Charter Public (District),04810000,MATH,          94,23,           8,2,          86,21,         182,44,         134,33,         410,99,     481,          45,         279
Boston Renaissance Charter Public (District),04810000,SCI,          18,19,           1,1,          17,18,          41,42,          38,39,          97,100,     480,,
Bourne,00360000,ELA,         292,36,          24,3,         268,33,         367,45,         153,19,         812,99,     491,          51,         633
Bourne,00360000,MATH,         224,28,          13,2,         211,26,         448,55,         140,17,         812,99,     488,          45,         631
Bourne,00360000,SCI,         106,36,           8,3,          98,33,         138,47,          49,17,         293,99,     491,,
Boxford,00380000,ELA,         224,58,          15,4,         209,54,         135,35,          29,7,         388,100,     501,          48,         269
Boxford,00380000,MATH,         237,61,          28,7,         209,54,         124,32,          26,7,         387,100,     503,          56,         271
Boxford,00380000,SCI,          55,58,           8,8,          47,49,          32,34,           8,8,          95,100,     503,,
Braintree,00400000,ELA,"       1,276",52,         224,9,"       1,052",43,         882,36,         291,12,"       2,449",99,     500,          51,"       1,927"
Braintree,00400000,MATH,"       1,363",56,         257,10,"       1,106",45,         858,35,         232,9,"       2,453",99,     503,          54,"       1,933"
Braintree,00400000,SCI,         442,56,         100,13,         342,43,         248,31,         102,13,         792,98,     502,,
Brewster,00410000,ELA,          91,46,           9,5,          82,41,          86,43,          21,11,         198,98,     497,          49,         121
Brewster,00410000,MATH,          98,49,          13,7,          85,43,          76,38,          24,12,         198,98,     498,          50,         122
Brewster,00410000,SCI,          28,50,           7,13,          21,38,          19,34,           9,16,          56,97,     502,,
Bridge Boston Charter School (District),04170000,ELA,          52,27,           3,2,          49,26,         100,53,          38,20,         190,100,     487,          51,         150
Bridge Boston Charter School (District),04170000,MATH,          53,28,           6,3,          47,25,         114,60,          23,12,         190,100,     490,          53,         150
Bridge Boston Charter School (District),04170000,SCI,           7,13,           0,0,           7,13,          23,41,          26,46,          56,100,     477,,
Bridgewater-Raynham,06250000,ELA,"       1,035",40,          98,4,         937,36,"       1,206",46,         370,14,"       2,611",99,     493,          46,"       2,074"
Bridgewater-Raynham,06250000,MATH,"       1,143",44,         154,6,         989,38,"       1,157",44,         308,12,"       2,608",99,     497,          50,"       2,072"
Bridgewater-Raynham,06250000,SCI,         327,39,          35,4,         292,34,         418,49,         104,12,         849,99,     494,,
Brimfield,00430000,ELA,          98,63,          15,10,          83,54,          52,34,           5,3,         155,100,     505,          60,         106
Brimfield,00430000,MATH,         103,66,          16,10,          87,56,          49,32,           3,2,         155,100,     507,          69,         109
Brimfield,00430000,SCI,          32,73,           6,14,          26,59,          12,27,           0,0,          44,100,     510,,
Brockton,00440000,ELA,"       1,448",22,         126,2,"       1,322",21,"       2,751",43,"       2,241",35,"       6,440",99,     481,          53,"       4,836"
Brockton,00440000,MATH,"       1,226",19,          96,1,"       1,130",18,"       2,904",45,"       2,314",36,"       6,444",99,     481,          51,"       4,842"
Brockton,00440000,SCI,         386,17,          38,2,         348,16,         949,42,         899,40,"       2,234",99,     478,,
Brooke Charter School (District),04280000,ELA,         637,57,         133,12,         504,45,         404,36,          86,8,"       1,127",100,     504,          57,         880
Brooke Charter School (District),04280000,MATH,         684,61,         136,12,         548,49,         377,33,          67,6,"       1,128",100,     505,          60,         882
Brooke Charter School (District),04280000,SCI,         201,54,          36,10,         165,44,         131,35,          40,11,         372,100,     501,,
Brookfield,00450000,ELA,          65,42,          11,7,          54,35,          79,51,          10,6,         154,100,     497,          47,         111
Brookfield,00450000,MATH,          71,46,          10,6,          61,40,          76,49,           7,5,         154,100,     500,          52,         111
Brookfield,00450000,SCI,          21,53,           6,15,          15,38,          15,38,           4,10,          40,100,     501,,
