2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Everett,00930000,"   6,316",  85.5,"   3,259",  44.6,"   5,422",  74.2,"   5,279",  72.2, , ,"   1,320",  17.9
Excel Academy Charter (District),04100000,"   1,062",  77.0,     212,  15.4,     770,  55.8,     874,  63.4, , ,     258,  18.7
Fairhaven,00940000,     833,  47.8,      39,   2.3,      70,   4.1,     650,  37.6, , ,     319,  18.3
Fall River,00950000,"   9,647",  86.1,"   2,925",  26.4,"   3,530",  31.8,"   8,682",  78.3, , ,"   2,900",  25.9
Falmouth,00960000,"   1,503",  51.9,     226,   7.9,     374,  13.0,"   1,092",  38.1, , ,     694,  23.9
Farmington River Reg,06620000,      83,  66.9,       2,   1.6,       3,   2.4,      68,  54.8, , ,      29,  23.4
Fitchburg,00970000,"   4,352",  81.0,"   1,143",  21.8,"   2,081",  39.8,"   3,743",  71.5, , ,"   1,314",  24.5
Florida,00980000,      34,  41.0,       0,   0.0,       0,   0.0,      28,  33.7, , ,      10,  12.0
Four Rivers Charter Public (District),04130000,      96,  45.1,       0,   0.0,       0,   0.0,      70,  32.9, , ,      50,  23.5
Foxborough,00990000,     939,  37.2,     116,   4.6,     218,   8.7,     573,  22.9, , ,     468,  18.5
Foxborough Regional Charter (District),04460000,     830,  56.9,     124,   8.5,     303,  20.8,     688,  47.2, , ,     139,   9.5
Framingham,01000000,"   6,704",  72.0,"   3,487",  38.2,"   5,139",  56.3,"   5,132",  56.2, , ,"   2,289",  24.6
Francis W. Parker Charter Essential (District),04780000,     123,  31.7,       0,   0.0,      16,   4.1,      50,  12.9, , ,      85,  21.9
Franklin,01010000,"   1,610",  34.4,     146,   3.2,     501,  10.9,     792,  17.2, , ,     998,  21.3
Franklin County Regional Vocational Technical,08180000,     327,  50.9,       0,   0.0,       0,   0.0,     254,  39.5, , ,     136,  21.2
Freetown-Lakeville,06650000,     886,  33.6,      33,   1.3,      74,   2.8,     552,  21.2, , ,     477,  18.1
Frontier,06700000,     204,  34.2,       5,   0.9,      15,   2.6,     127,  21.6, , ,     125,  21.0
Gardner,01030000,"   1,823",  71.1,     272,  10.7,     460,  18.2,"   1,595",  63.0, , ,     629,  24.5
Gateway,06720000,     413,  57.8,      12,   1.7,      30,   4.2,     313,  44.3, , ,     199,  27.9
Georgetown,01050000,     320,  26.6,      16,   1.3,      53,   4.4,     160,  13.4, , ,     188,  15.7
Gill-Montague,06740000,     572,  66.0,      55,   6.4,      91,  10.6,     470,  54.8, , ,     249,  28.7
Global Learning Charter Public (District),04960000,     412,  81.1,      62,  12.2,     209,  41.1,     366,  72.0, , ,      83,  16.3
Gloucester,01070000,"   1,671",  57.8,     269,   9.5,     396,  14.0,"   1,263",  44.5, , ,     728,  25.2
Gosnold,01090000,       0,   0.0,       0,   0.0,       0,   0.0,       0,   0.0, , ,       0,   0.0
Grafton,01100000,"   1,038",  33.3,      91,   2.9,     187,   6.1,     492,  15.9, , ,     592,  19.0
Granby,01110000,     328,  48.6,      34,   5.1,      62,   9.3,     225,  33.8, , ,     164,  24.3
Greater Commonwealth Virtual District,39010000,     840,  70.9,      18,   1.5,     120,  10.1,     704,  59.5, , ,     294,  24.8
